"时间","平台","订单","日志类型","价格","数量","消息"
2019-12-16 21:00:00,,,信息,,,7032.6

2019-12-16 21:00:00,,,信息,,,7147.54

2019-12-16 21:02:00,,,信息,,,7032.6

2019-12-16 21:02:00,,,信息,,,7147.541

2019-12-16 21:04:00,,,信息,,,7032.6

2019-12-16 21:04:00,,,信息,,,7147.539

2019-12-16 21:06:00,,,信息,,,7032.6

2019-12-16 21:06:00,,,信息,,,7141.81

2019-12-16 21:08:00,,,信息,,,7032.6

2019-12-16 21:08:00,,,信息,,,7143.72

2019-12-16 21:12:00,,,信息,,,7032.6

2019-12-16 21:12:00,,,信息,,,7139.9

2019-12-16 21:20:00,,,信息,,,7032.6

2019-12-16 21:20:00,,,信息,,,7151.933

2019-12-16 21:24:00,,,信息,,,7032.6

2019-12-16 21:24:00,,,信息,,,7149.526

2019-12-16 21:32:00,,,信息,,,7032.6

2019-12-16 21:32:00,,,信息,,,7163.966

2019-12-16 21:36:00,,,信息,,,7032.6

2019-12-16 21:36:00,,,信息,,,7161.56

2019-12-16 21:46:00,,,信息,,,7032.6

2019-12-16 21:46:00,,,信息,,,7176.0

2019-12-16 21:50:00,,,信息,,,7032.6

2019-12-16 21:50:00,,,信息,,,7174.425

2019-12-16 21:54:00,,,信息,,,7032.6

2019-12-16 21:54:00,,,信息,,,7174.95

2019-12-16 21:58:00,,,信息,,,7032.6

2019-12-16 21:58:00,,,信息,,,7173.9

2019-12-16 22:00:00,,,信息,,,7032.6

2019-12-16 22:00:00,,,信息,,,7173.8

2019-12-16 22:22:55,,,信息,,,7032.6

2019-12-16 22:22:55,,,信息,,,7196.0

2019-12-16 22:58:00,,,信息,,,7032.6

2019-12-16 22:58:00,,,信息,,,7150.6

2019-12-16 23:00:00,,,信息,,,7032.6

2019-12-16 23:00:00,,,信息,,,7150.61

2019-12-16 23:02:00,,,信息,,,7032.6

2019-12-16 23:02:00,,,信息,,,7150.611

2019-12-16 23:04:00,,,信息,,,7032.6

2019-12-16 23:04:00,,,信息,,,7150.609

2019-12-16 23:06:00,,,信息,,,7032.6

2019-12-16 23:06:00,,,信息,,,7158.252

2019-12-16 23:08:00,,,信息,,,7032.6

2019-12-16 23:08:00,,,信息,,,7155.705

2019-12-16 23:12:00,,,信息,,,7032.6

2019-12-16 23:12:00,,,信息,,,7160.8

2019-12-16 23:20:00,,,信息,,,7032.6

2019-12-16 23:20:00,,,信息,,,7148.673

2019-12-16 23:24:00,,,信息,,,7032.6

2019-12-16 23:24:00,,,信息,,,7151.098

2019-12-16 23:32:00,,,信息,,,7032.6

2019-12-16 23:32:00,,,信息,,,7136.546

2019-12-16 23:36:00,,,信息,,,7032.6

2019-12-16 23:36:00,,,信息,,,7138.972

2019-12-16 23:46:00,,,信息,,,7032.6

2019-12-16 23:46:00,,,信息,,,7124.42

2019-12-16 23:50:00,,,信息,,,7032.6

2019-12-16 23:50:00,,,信息,,,7127.555

2019-12-16 23:54:00,,,信息,,,7032.6

2019-12-16 23:54:00,,,信息,,,7126.51

2019-12-16 23:58:00,,,信息,,,7032.6

2019-12-16 23:58:00,,,信息,,,7128.6

2019-12-17 00:00:00,,,信息,,,7032.6

2019-12-17 00:00:00,,,信息,,,7128.6

2019-12-17 00:02:00,,,信息,,,7032.6

2019-12-17 00:02:00,,,信息,,,7128.601

2019-12-17 00:04:00,,,信息,,,7032.6

2019-12-17 00:04:00,,,信息,,,7128.599

2019-12-17 00:06:00,,,信息,,,7032.6

2019-12-17 00:06:00,,,信息,,,7127.55

2019-12-17 00:08:00,,,信息,,,7032.6

2019-12-17 00:08:00,,,信息,,,7127.9

2019-12-17 00:12:00,,,信息,,,7032.6

2019-12-17 00:12:00,,,信息,,,7127.2

2019-12-17 00:20:00,,,信息,,,7032.6

2019-12-17 00:20:00,,,信息,,,7129.333

2019-12-17 00:24:00,,,信息,,,7032.6

2019-12-17 00:24:00,,,信息,,,7128.906

2019-12-17 00:32:00,,,信息,,,7032.6

2019-12-17 00:32:00,,,信息,,,7131.466

2019-12-17 00:36:00,,,信息,,,7032.6

2019-12-17 00:36:00,,,信息,,,7131.04

2019-12-17 00:46:00,,,信息,,,7032.6

